epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.60543,0.80215,2.77287,1.32524,0.81311,0.90161,0.93182,0.79184,0.44882,4.93012,0.94479,0.00018337,0.00018337,0.00018337
2,15.4776,0.7175,1.17417,1.21324,0.95588,0.95,0.94655,0.78514,0.60257,5.8919,1.12987,0.000379614,0.000379614,0.000379614
3,22.3246,0.87588,1.2388,1.27003,0.32353,0.3914,0.28371,0.14739,1.60832,14.7241,2.35542,0.000571898,0.000571898,0.000571898
4,29.1826,0.84173,0.99058,1.22219,0.20679,0.56237,0.1254,0.05165,2.94721,inf,37.3769,0.00076022,0.00076022,0.00076022
5,36.0374,0.91726,1.00302,1.27983,0.04491,0.81828,0.05145,0.01992,2.49022,inf,11.5705,0.000944582,0.000944582,0.000944582
6,42.9306,0.98632,0.92177,1.29315,0.02574,0.61935,0.02767,0.00712,3.21368,inf,10.6088,0.00112498,0.00112498,0.00112498
7,49.9453,0.99553,1.10872,1.33432,0.00908,0.54624,0.01005,0.00233,3.59157,inf,26.8069,0.00130142,0.00130142,0.00130142
8,56.9194,0.95849,1.01441,1.3241,0.01009,0.3,0.01061,0.00307,5.15176,inf,102.518,0.0014739,0.0014739,0.0014739
9,63.9534,1.15362,1.36441,1.58984,0.18264,0.46559,0.08062,0.02972,3.13579,63.3053,7.31344,0.00153497,0.00153497,0.00153497
10,71.0651,1.01374,1.08126,1.39443,0.58523,0.5,0.12022,0.08057,0.8284,31.1103,1.68305,0.00151847,0.00151847,0.00151847
11,78.206,0.88864,0.88505,1.22959,0.44038,0.68073,0.56926,0.35692,1.30535,7.97705,3.40857,0.00150197,0.00150197,0.00150197
12,85.4326,0.89686,0.93681,1.23141,0.40254,0.59462,0.36393,0.23516,1.16514,10.4096,1.91501,0.00148546,0.00148546,0.00148546
13,92.8058,0.90649,0.70288,1.29812,0.69087,0.93411,0.78302,0.56179,0.83961,2.30301,1.58296,0.00146896,0.00146896,0.00146896
14,100.265,0.87961,0.76069,1.21586,0.5245,0.72151,0.66085,0.43091,1.05468,3.58032,1.67001,0.00145246,0.00145246,0.00145246
15,107.798,0.86147,0.8425,1.2074,0.45576,0.61774,0.53343,0.39319,0.7687,3.26673,1.28112,0.00143595,0.00143595,0.00143595
16,115.479,0.74736,0.67732,1.12266,0.45836,0.46989,0.45776,0.23704,1.8933,2.46656,3.15407,0.00141945,0.00141945,0.00141945
17,123.294,0.84209,0.72688,1.20922,0.48419,0.22688,0.31363,0.14208,2.51303,3.01624,4.40696,0.00140295,0.00140295,0.00140295
18,131.136,0.74499,0.64742,1.16545,0.43439,0.55806,0.51638,0.26508,1.84835,1.968,2.42086,0.00138644,0.00138644,0.00138644
19,139.111,0.89344,0.72746,1.26294,0.73374,0.6932,0.79595,0.54641,1.17504,1.15754,1.73222,0.00136994,0.00136994,0.00136994
20,147.194,0.84092,0.66198,1.20242,0.88224,0.8598,0.94167,0.69942,0.88586,0.75279,1.39503,0.00135344,0.00135344,0.00135344
21,155.462,0.78609,0.66401,1.184,0.9327,0.88884,0.90107,0.71054,0.80118,0.70119,1.21814,0.00133693,0.00133693,0.00133693
22,163.825,0.79907,0.63715,1.18168,0.95215,0.97878,0.99309,0.85325,0.54231,0.60247,1.01576,0.00132043,0.00132043,0.00132043
23,172.621,0.78103,0.75887,1.2334,0.8636,0.83787,0.89173,0.78336,0.51855,0.68824,1.02199,0.00130393,0.00130393,0.00130393
24,181.269,0.7664,0.64064,1.19259,0.94833,1,0.99339,0.8758,0.52099,0.68172,1.03891,0.00128742,0.00128742,0.00128742
25,190.05,0.71794,0.62312,1.14014,0.83922,0.89933,0.89383,0.76765,0.55633,0.62603,1.04978,0.00127092,0.00127092,0.00127092
26,198.56,0.74374,0.62978,1.148,0.91076,1,0.967,0.85012,0.51832,0.53588,1.00165,0.00125442,0.00125442,0.00125442
27,206.914,0.77189,0.55673,1.16894,0.99402,1,0.995,0.89361,0.50966,0.38596,1.01735,0.00123791,0.00123791,0.00123791
28,215.359,0.68303,0.55367,1.09849,0.87479,0.87637,0.95752,0.68408,0.84523,0.77103,1.30616,0.00122141,0.00122141,0.00122141
29,223.568,0.75521,0.58783,1.20266,0.83392,0.77706,0.86259,0.63646,0.89228,1.11584,1.405,0.00120491,0.00120491,0.00120491
30,231.805,0.67987,0.54053,1.12144,0.96262,1,0.9914,0.90148,0.40759,0.36873,0.92085,0.0011884,0.0011884,0.0011884
31,240.255,0.64071,0.54856,1.10551,0.97914,1,0.99339,0.91689,0.41447,0.36468,0.92523,0.0011719,0.0011719,0.0011719
32,248.843,0.66321,0.52509,1.10646,0.99493,1,0.995,0.90379,0.4323,0.32991,0.93572,0.0011554,0.0011554,0.0011554
33,257.245,0.67621,0.56906,1.14307,0.96718,1,0.995,0.91265,0.42158,0.32154,0.94176,0.00113889,0.00113889,0.00113889
34,265.633,0.72456,0.52277,1.15596,0.96286,0.96667,0.99087,0.90379,0.4185,0.42905,0.94588,0.00112239,0.00112239,0.00112239
35,273.975,0.65632,0.53872,1.11704,0.99301,0.9724,0.99364,0.9038,0.43354,0.42918,0.92702,0.00110589,0.00110589,0.00110589
36,282.293,0.67921,0.59844,1.12771,0.99359,1,0.995,0.92117,0.43108,0.38779,0.93207,0.00108938,0.00108938,0.00108938
37,290.778,0.67378,0.54972,1.11351,0.99211,1,0.995,0.90941,0.42083,0.36446,0.93654,0.00107288,0.00107288,0.00107288
38,299.072,0.58696,0.49325,1.07641,0.99715,1,0.995,0.93908,0.37072,0.30109,0.89801,0.00105638,0.00105638,0.00105638
